Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
TL079,DefaultProbCons,0.0670103092784,0.0684210526316,0.067715680955,0.0,0.0670103092784,0.928571428571,0.869500484864,0.90625,3.0,126.0,117.0,98.0,0.178715397901,0.320105820106,4.48148148148,2.0,0.0670103092784,0.0684210526316,0.0,0.928571428571,7.33333333333
SF263,DefaultProbCons,0.102062400846,0.0930120481928,0.0975372245194,0.0,0.102062400846,1.00523560209,0.830240634165,0.916666666667,8.0,191.0,192.0,113.0,0.130621883753,0.510471204188,5.90909090909,3.0,0.102062400846,0.0930120481928,0.0,1.00523560209,20.9375
SF185,DefaultProbCons,0.216032608696,0.18488372093,0.200458164813,0.0,0.216032608696,1.21917808219,0.778929961678,0.928571428571,7.0,73.0,89.0,59.0,0.150101631581,0.348336594912,4.81081081081,1.0,0.216032608696,0.18488372093,0.0,1.21917808219,9.57142857143
SF169,DefaultProbCons,0.0757485387093,0.0525792829345,0.0641639108219,0.0,0.0757485387093,1.68965517241,0.804968510509,0.904,14.0,232.0,392.0,165.0,0.0415187400804,0.360837438424,4.56031128405,3.0,0.0757485387093,0.0525792829345,0.0,1.68965517241,14.2142857143
SF054,DefaultProbCons,0.0996052094205,0.0791361719003,0.0893706906604,0.0,0.0996052094205,1.25598526703,0.759799173129,0.887254901961,17.0,543.0,682.0,270.0,0.0615988962532,0.556277759723,8.17675159236,3.0,0.0996052094205,0.0791361719003,0.0,1.25598526703,30.7058823529
SF175,DefaultProbCons,0.325688073394,0.310043668122,0.317865870758,0.137931034483,0.325688073394,1.02419354839,0.632431818956,0.704225352113,3.0,124.0,127.0,102.0,0.0783815494666,0.241935483871,6.42857142857,4.0,0.325688073394,0.310043668122,0.137931034483,1.02419354839,4.0
SF032,DefaultProbCons,0.108678655199,0.10142283838,0.10505074679,0.00662251655629,0.108678655199,1.05115089514,0.815565714707,0.937888198758,6.0,391.0,411.0,272.0,0.145015761254,0.387468030691,5.41071428571,2.0,0.108678655199,0.10142283838,0.00662251655629,1.05115089514,16.6666666667
SF117,DefaultProbCons,0.295238095238,0.281818181818,0.288528138528,0.151162790698,0.295238095238,1.05653710247,0.818241190334,0.956043956044,3.0,283.0,299.0,273.0,0.379815525196,0.255594817432,8.68,2.0,0.295238095238,0.281818181818,0.151162790698,1.05653710247,21.5
SF108,DefaultProbCons,0.00389105058366,0.00398406374502,0.00393755716434,0.0,0.00389105058366,0.945945945946,0.819956140351,0.850877192982,3.0,555.0,525.0,456.0,0.253779791238,0.348948948949,6.67816091954,2.0,0.00389105058366,0.00398406374502,0.0,0.945945945946,41.5
TL272,DefaultProbCons,0.0769230769231,0.0749279538905,0.0759255154068,0.0,0.0769230769231,0.946902654867,0.864721494374,0.916666666667,4.0,113.0,107.0,77.0,0.0671023582939,0.349557522124,4.51428571429,2.0,0.0769230769231,0.0749279538905,0.0,0.946902654867,7.625
