Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
AL10051306,DefaultProbCons,0.141025641026,0.126923076923,0.133974358974,0.0,0.141025641026,1.02994011976,0.814298018949,0.976744186047,4.0,167.0,172.0,165.0,1.34102718446,0.553892215569,30.8333333333,5.0,0.119658119658,0.12962962963,0.0,1.02994011976,0.0
AL10063562,DefaultProbCons,0.5,0.458620689655,0.479310344828,0.216666666667,0.5,1.1,0.52922705314,0.739130434783,4.0,60.0,66.0,60.0,0.152507618277,0.116666666667,14.0,14.0,0.360902255639,0.484848484848,0.242424242424,1.1,0.0
AL00050685,DefaultProbCons,0.381761978362,0.336971350614,0.359366664488,0.189473684211,0.381761978362,1.08737864078,0.72558849887,0.880733944954,4.0,206.0,224.0,191.0,0.271207638478,0.252427184466,12.2352941176,4.0,0.216383307573,0.338164251208,0.101449275362,1.08737864078,0.0
AL10050875,DefaultProbCons,0.0864304235091,0.0702740688686,0.0783522461888,0.0,0.0864304235091,1.2874251497,0.866442755423,0.955056179775,6.0,167.0,215.0,129.0,0.110341115921,0.310379241517,7.06818181818,4.0,0.0639585133967,0.11746031746,0.0,1.2874251497,0.0
AL00056276,DefaultProbCons,0.142140468227,0.124269005848,0.133204737038,0.00724637681159,0.142140468227,1.16225165563,0.76663335237,0.839805825243,3.0,302.0,351.0,280.0,0.111641298133,0.136865342163,5.39130434783,3.0,0.117056856187,0.144032921811,0.0,1.16225165563,0.0
AL00052787,DefaultProbCons,0.389037433155,0.32119205298,0.355114743068,0.0328947368421,0.389037433155,1.30864197531,0.716576829227,0.89,6.0,162.0,212.0,153.0,0.142749867157,0.157407407407,5.27586206897,3.0,0.254010695187,0.305220883534,0.0,1.30864197531,0.0
AL10052799,DefaultProbCons,0.435999243713,0.32081246522,0.378405854467,0.0,0.435999243713,2.73076923077,0.764895104895,1.0,34.0,26.0,71.0,26.0,0.0157856011585,0.0079185520362,1.0,1.0,0.413972395538,0.312228163993,0.0,2.73076923077,0.0
AL00052441,DefaultProbCons,0.278130841121,0.215340086831,0.246735463976,0.0152671755725,0.278130841121,1.54545454545,0.786193787616,0.910256410256,9.0,143.0,221.0,126.0,0.126146246741,0.245532245532,5.09677419355,3.0,0.180186915888,0.257478632479,0.0,1.54545454545,0.0
AL00051735,DefaultProbCons,0.0962745918794,0.0855018587361,0.0908882253078,0.0108695652174,0.0962745918794,1.1450617284,0.879565203046,0.928571428571,7.0,324.0,371.0,255.0,0.345332632711,0.453262786596,19.3962264151,9.0,0.0899958141482,0.131257631258,0.0384615384615,1.1450617284,0.0
AL00057282,DefaultProbCons,0.78527607362,0.68449197861,0.734884026115,0.53125,0.78527607362,1.25,0.402721774194,0.58064516129,4.0,32.0,40.0,32.0,0.0183285799743,0.015625,1.0,1.0,0.748466257669,0.677777777778,0.533333333333,1.25,0.0
AL00055186,DefaultProbCons,0.374045801527,0.327394209354,0.35072000544,0.132075471698,0.374045801527,1.19135802469,0.703348308521,0.824324324324,3.0,162.0,193.0,159.0,0.0259067428483,0.0411522633745,2.5,2.0,0.312977099237,0.328,0.136,1.19135802469,0.0
AL00054403,DefaultProbCons,0.213104588673,0.172725749707,0.19291516919,0.0,0.213104588673,1.61111111111,0.809063244915,0.942857142857,13.0,108.0,174.0,97.0,0.114388708133,0.214387464387,5.18965517241,2.0,0.161637040099,0.182284382284,0.0,1.61111111111,0.0
AL00050155,DefaultProbCons,0.406951426467,0.307074343425,0.357012884946,0.0,0.406951426467,2.80555555556,0.721399903542,0.896103896104,46.0,108.0,303.0,93.0,0.0560347322844,0.222423510467,6.77914110429,6.0,0.358329864558,0.343255885285,0.0,2.80555555556,0.0
AL00050715,DefaultProbCons,0.0378787878788,0.0332594235033,0.0355691056911,0.0,0.0378787878788,1.2268907563,0.888737204087,0.918918918919,4.0,119.0,146.0,101.0,0.0714285714286,0.224789915966,7.13333333333,4.0,0.0378787878788,0.0480769230769,0.0,1.2268907563,0.0
AL00102031,DefaultProbCons,0.603658536585,0.532258064516,0.567958300551,0.298387096774,0.603658536585,1.17322834646,0.516129032258,0.774193548387,3.0,127.0,149.0,127.0,0.0139681516739,0.0157480314961,1.5,1.5,0.42987804878,0.661971830986,0.492957746479,1.17322834646,0.0
AL00048098,DefaultProbCons,0.467000835422,0.378060327337,0.422530581379,0.00884955752212,0.467000835422,2.01639344262,0.660856916819,0.936363636364,17.0,122.0,246.0,117.0,0.0205951790499,0.0935390549662,2.93939393939,2.0,0.396825396825,0.39689171123,0.0113636363636,2.01639344262,0.0
AL00053377,DefaultProbCons,0.199351701783,0.16757493188,0.183463316831,0.0846153846154,0.199351701783,1.20284697509,0.749552440302,0.788844621514,3.0,281.0,338.0,281.0,0.075417109506,0.0771055753262,6.5,7.5,0.165316045381,0.182795698925,0.102150537634,1.20284697509,0.0
AL00089447,DefaultProbCons,0.426470588235,0.378260869565,0.4023657289,0.170731707317,0.426470588235,1.13333333333,0.788040385601,0.864864864865,4.0,45.0,51.0,44.0,0.0661437827766,0.1,2.25,2.5,0.392156862745,0.392156862745,0.205882352941,1.13333333333,0.0
AL10048599,DefaultProbCons,0.196506550218,0.198237885463,0.19737221784,0.0549450549451,0.196506550218,1.0,0.85097728965,0.867647058824,3.0,147.0,147.0,119.0,0.19133313259,0.30612244898,22.5,21.0,0.126637554585,0.155913978495,0.0645161290323,1.0,0.0
AL00052799,DefaultProbCons,0.238511245081,0.178230374966,0.208370810024,0.0,0.238511245081,1.90522875817,0.799765163582,0.96,22.0,306.0,583.0,226.0,0.141421926379,0.392453951277,8.15432098765,4.0,0.12277535107,0.219745428701,0.0,1.90522875817,0.0
AL10063763,DefaultProbCons,0.174874371859,0.177370030581,0.17612220122,0.0,0.174874371859,1.01041666667,0.847672274575,0.975,7.0,96.0,97.0,71.0,0.0979664128145,0.379464285714,10.2,11.0,0.132663316583,0.216748768473,0.0,1.01041666667,0.0
AL10053473,DefaultProbCons,0.411869243741,0.282791667038,0.347330455389,0.0,0.411869243741,4.96875,0.782683774713,1.0,119.0,32.0,159.0,32.0,0.00286468280321,0.000262605042017,1.0,1.0,0.385322350499,0.325446736713,0.0,4.96875,0.0
AL00055594,DefaultProbCons,0.591891891892,0.496598639456,0.544245265674,0.0833333333333,0.591891891892,1.47619047619,0.524376417234,0.690476190476,7.0,84.0,124.0,84.0,0.0,0.0,0.0,0.0,0.559459459459,0.492857142857,0.075,1.47619047619,0.0
AL10051350,DefaultProbCons,0.384407482295,0.262012271978,0.323209877137,0.0,0.384407482295,2.89285714286,0.774916539814,1.0,95.0,56.0,162.0,45.0,0.0592557157962,0.406390977444,11.5,12.0,0.35263516191,0.277603583427,0.0,2.89285714286,0.0
AL00053335,DefaultProbCons,0.140683064944,0.116058394161,0.128370729552,0.010067114094,0.140683064944,1.47058823529,0.861152728131,0.909722222222,10.0,306.0,450.0,250.0,0.188423377013,0.378104575163,15.6351351351,4.0,0.113785170766,0.201251956182,0.0422535211268,1.47058823529,0.0
AL00052150,DefaultProbCons,0.06684733514,0.0598705501618,0.0633589426509,0.0028328611898,0.06684733514,1.06666666667,0.850695955925,0.922222222222,4.0,555.0,592.0,448.0,0.343853028363,0.43018018018,23.2926829268,15.0,0.0542005420054,0.0746268656716,0.00746268656716,1.06666666667,0.0
AL00050692,DefaultProbCons,0.206984320912,0.150547985782,0.178766153347,0.0140845070423,0.206984320912,1.94736842105,0.833244673249,0.945205479452,18.0,171.0,333.0,142.0,0.221203182751,0.379467186485,11.2307692308,8.0,0.155161881491,0.195309496348,0.0,1.94736842105,0.0
AL10050412,DefaultProbCons,0.268677014043,0.195453470116,0.23206524208,0.0,0.268677014043,2.93846153846,0.854308558811,1.0,53.0,65.0,191.0,62.0,0.208538172695,0.40435413643,13.5242718447,10.0,0.230036954915,0.245503880861,0.0,2.93846153846,0.0
AL00052086,DefaultProbCons,0.207100591716,0.177514792899,0.192307692308,0.0,0.207100591716,1.35761589404,0.815129818058,0.934579439252,7.0,151.0,205.0,149.0,0.178453719568,0.172185430464,5.51515151515,5.0,0.155818540434,0.181296615032,0.0,1.35761589404,0.0
AL10089447,DefaultProbCons,0.402940661649,0.283497536946,0.343219099297,0.0,0.402940661649,3.25,0.804679802956,1.0,29.0,20.0,65.0,20.0,0.0,0.0,0.0,0.0,0.402940661649,0.283497536946,0.0,3.25,0.0
AL20089447,DefaultProbCons,0.248979591837,0.247967479675,0.248473535756,0.106382978723,0.248979591837,0.991803278689,0.792347415101,0.829545454545,3.0,122.0,121.0,110.0,0.120983844746,0.20218579235,7.4,3.0,0.212244897959,0.237442922374,0.109589041096,0.991803278689,0.0
AL00050847,DefaultProbCons,0.470854718009,0.345130511538,0.407992614773,0.0214285714286,0.470854718009,2.47887323944,0.654724999866,0.834645669291,28.0,142.0,352.0,135.0,0.0215645487294,0.0965794768612,1.66956521739,1.0,0.435874645182,0.352780098394,0.0263157894737,2.47887323944,0.0
AL00101215,DefaultProbCons,0.424180327869,0.401162790698,0.412671559283,0.0898876404494,0.424180327869,1.12222222222,0.619511754885,0.855421686747,4.0,90.0,101.0,89.0,0.0280898876404,0.025,2.25,1.0,0.329918032787,0.394607843137,0.102941176471,1.12222222222,0.0
AL00088995,DefaultProbCons,0.411764705882,0.307317073171,0.359540889527,0.170731707317,0.411764705882,1.60975609756,0.770731707317,0.878048780488,5.0,41.0,66.0,41.0,0.0,0.0,0.0,0.0,0.411764705882,0.331578947368,0.184210526316,1.60975609756,0.0
AL00051366,DefaultProbCons,0.107190821971,0.0694358429915,0.0883133324812,0.0,0.107190821971,2.39890710383,0.839139411951,0.942857142857,27.0,366.0,878.0,299.0,0.107666613371,0.395567698846,10.651226158,6.0,0.0708611231249,0.0784862466278,0.0,2.39890710383,0.0
AL00089048,DefaultProbCons,0.87962962963,0.833333333333,0.856481481481,0.75,0.87962962963,1.07894736842,0.236842105263,0.302631578947,3.0,76.0,82.0,76.0,0.0,0.0,0.0,0.0,0.87962962963,0.833333333333,0.75,1.07894736842,0.0
AL00050684,DefaultProbCons,0.145906228132,0.103662578721,0.124784403426,0.016393442623,0.145906228132,1.58245614035,0.869192047687,0.991304347826,24.0,285.0,451.0,185.0,0.270511947043,0.595614035088,34.8205128205,38.0,0.101761138325,0.162114455593,0.0,1.58245614035,0.0
AL00047241,DefaultProbCons,0.216197666438,0.135958703083,0.176078184761,0.0,0.216197666438,3.26973684211,0.809937360475,0.956204379562,30.0,152.0,497.0,144.0,0.0370185597589,0.0892543859649,3.73394495413,2.0,0.1890459849,0.149338538278,0.0,3.26973684211,0.0
AL10050815,DefaultProbCons,0.255537032627,0.181031573873,0.21828430325,0.0,0.255537032627,2.83333333333,0.808553896499,0.941176470588,29.0,138.0,391.0,119.0,0.0505691087237,0.199650174913,4.41436464088,3.0,0.148606811146,0.244514106583,0.0,2.83333333333,0.0
AL00049879,DefaultProbCons,0.166680956872,0.133150684932,0.149915820902,0.0,0.166680956872,1.64957264957,0.848710221668,0.970297029703,18.0,234.0,386.0,206.0,0.338455642865,0.479344729345,17.4051724138,13.0,0.105290234074,0.170769016827,0.0,1.64957264957,0.0
AL00054407,DefaultProbCons,0.299667774086,0.244842562432,0.272255168259,0.0,0.299667774086,1.54464285714,0.737639698197,0.8625,7.0,112.0,173.0,107.0,0.117180944039,0.137755102041,3.27272727273,1.0,0.253156146179,0.259183673469,0.0,1.54464285714,0.0
AL10047861,DefaultProbCons,0.145491803279,0.108562691131,0.127027247205,0.0281690140845,0.145491803279,1.62666666667,0.839825595677,0.983050847458,5.0,75.0,122.0,71.0,0.0467297920966,0.0826666666667,3.1,3.5,0.139344262295,0.125925925926,0.037037037037,1.62666666667,0.0
AL00100897,DefaultProbCons,0.912698412698,0.844346549192,0.878522480945,0.583333333333,0.912698412698,1.16666666667,0.308458383227,0.511111111111,6.0,48.0,56.0,48.0,0.0450051437389,0.0277777777778,2.66666666667,2.0,0.652380952381,0.85625,0.625,1.16666666667,0.0
AL00053614,DefaultProbCons,0.212127943136,0.165942658558,0.189035300847,0.0327380952381,0.212127943136,1.40526315789,0.784573698352,0.87265917603,7.0,380.0,534.0,337.0,0.0816495231461,0.208646616541,4.91150442478,3.0,0.194580186584,0.195841716968,0.0516431924883,1.40526315789,0.0
AL00051934,DefaultProbCons,0.361788617886,0.295190713101,0.328489665494,0.0414012738854,0.361788617886,1.39887640449,0.698984691535,0.80534351145,7.0,356.0,498.0,302.0,0.080223503263,0.19823434992,8.66666666667,5.0,0.318879855465,0.327990708479,0.0634146341463,1.39887640449,0.0
AL00069394,DefaultProbCons,0.381118881119,0.315637065637,0.348377973378,0.0982142857143,0.381118881119,1.37551020408,0.647427116702,0.755980861244,6.0,245.0,337.0,235.0,0.0540988149946,0.117006802721,4.64864864865,3.0,0.365967365967,0.318781725888,0.111675126904,1.37551020408,0.0
