Dataset,Method,1-SPFP,1-SPFN,SP-Score,TC,Modeler,Compression,Average Pairwise P-Distance,Maximum Pairwise P-Distance,Number of Sequences,Reference Length,Estimated Length,Maximum Ungapped Length,Sequence Length Heterogeneity,Gappiness Percentage,Average Gap Length,Median Gap Length,1-SPFP(masked),1-SPFN(masked),TC(masked),Compression(masked),Average Terminal Gap length
BALBS032,DefaultProbCons,0.032792994224,0.0228097459824,0.0278013701032,0.0,0.032792994224,1.32426303855,0.853021782051,0.916666666667,11.0,882.0,1168.0,611.0,0.276780493115,0.57338693053,29.7486631016,11.0,0.032792994224,0.0228097459824,0.0,1.32426303855,149.272727273
BALBS195,DefaultProbCons,0.0103769589157,0.00896368791731,0.00967032341651,0.0172543135784,0.0103769589157,1.21017811705,0.866940572866,0.930574098798,9.0,1965.0,2378.0,1934.0,1.07444595632,0.666270851004,103.359649123,2.0,0.0103769589157,0.00896368791731,0.0172543135784,1.21017811705,628.555555556
BALBS346,DefaultProbCons,0.276676811561,0.196586275772,0.236631543666,0.0,0.276676811561,1.67140468227,0.685762649693,0.799196787149,15.0,1196.0,1999.0,1022.0,0.191060387415,0.442474916388,23.8378378378,2.0,0.276676811561,0.196586275772,0.0,1.67140468227,181.4
BALBS348,DefaultProbCons,0.0541446711371,0.0427605633803,0.0484526172587,0.0,0.0541446711371,1.5176056338,0.829987998126,0.91095890411,16.0,568.0,862.0,384.0,0.44936031842,0.615647007042,36.0967741935,6.0,0.0541446711371,0.0427605633803,0.0,1.5176056338,156.15625
BALBS647,DefaultProbCons,0.282694848085,0.256151083921,0.269422966003,0.071189279732,0.282694848085,1.20446364291,0.623320839668,0.70323488045,5.0,1389.0,1673.0,1242.0,0.213994210258,0.296040316775,12.7701863354,4.0,0.282694848085,0.256151083921,0.071189279732,1.20446364291,50.7
BALBS523,DefaultProbCons,0.458113270568,0.366440128909,0.412276699739,0.00934579439252,0.458113270568,1.98051948052,0.616564664367,0.840970350404,18.0,462.0,915.0,438.0,0.0270201190386,0.127946127946,2.8679245283,2.0,0.458113270568,0.366440128909,0.00934579439252,1.98051948052,2.38888888889
BALBS126,DefaultProbCons,0.192936682313,0.145077866121,0.169007274217,0.0,0.192936682313,1.81827309237,0.735627030421,0.87109375,23.0,996.0,1811.0,742.0,0.203760581338,0.461367207962,18.5421052632,2.0,0.192936682313,0.145077866121,0.0,1.81827309237,122.826086957
BALBS284,DefaultProbCons,0.144584382872,0.121020451191,0.132802417031,0.00556586270872,0.144584382872,1.19253208868,0.671983015911,0.8,6.0,857.0,1022.0,786.0,0.463581015562,0.467133411124,31.1948051948,7.0,0.144584382872,0.121020451191,0.00556586270872,1.19253208868,154.333333333
BALBS410,DefaultProbCons,0.288152015934,0.216741122643,0.252446569288,0.00139470013947,0.288152015934,1.53178694158,0.644483195653,0.780660377358,19.0,1164.0,1783.0,890.0,0.234550339807,0.556836679327,28.7062937063,3.0,0.288152015934,0.216741122643,0.00139470013947,1.53178694158,200.394736842
BALBS550,DefaultProbCons,0.370351576658,0.296105250956,0.333228413807,0.0,0.370351576658,1.78731343284,0.687502225772,0.918918918919,20.0,268.0,479.0,220.0,0.0540988562647,0.27723880597,6.57522123894,4.0,0.370351576658,0.296105250956,0.0,1.78731343284,0.175
